Timestamp,What is your current year of study?,Which school/faculty are you in?,What is your gender?,Where do you currently live?,Do you currently have a part-time job?,"On average, how much money do you receive per month from parents/guardians? (THB)",How much scholarship money do you receive per month? (THB),How much do you earn from part-time work per month? (THB),What is your total monthly income/available money? (THB),"How often do you receive money from parents/guardians?
",Do you have a personal savings or emergency fund for unexpected expenses?,"Do you have any other regular financial obligations or responsibilities (e.g., sending money to family or supporting dependents)?","Do you have any monthly debt or loan repayments (e.g., student loans, personal loans, credit card payments)?","Do you have any monthly debt or loan repayments (e.g., student loans, personal loans, credit card payments)?",Approximately how much do you save per month? (Enter amount in THB and enter 0 if not applicable.),Approximately how much do you pay toward debt or loan repayments per month? (Enter amount in THB and enter 0 if not applicable.),How much do you spend on accommodation/rent per month? (THB),How much do you spend on food and drinks per month? (THB),How much do you spend on transportation per month? (THB),How much do you spend on study-related expenses per month? (THB),How much do you spend on other expenses per month? (THB),What is your total monthly spending? (THB),How often do you track your spending?,Do you usually set a monthly budget?,"In the past month, did you face any unexpected/emergency expense?","If yes, about how much was the emergency expense? (THB)",Did you run out of money before the end of the month?,"If yes, how many days before month-end did your money become insufficient?"
3/23/2026 15:03:17,2nd year,School of Management,Female,On-campus dormitory,No,9000,…,…,….,Monthly,No,No,No,,0,0,4000,6000,300,200,600,10000,Daily,No,No,0,Yes,5
3/23/2026 15:03:37,1st year,School of Liberal Arts,Female,On-campus dormitory,No,7000-8000,-,-,7000-8000,Monthly,Yes,Yes,No,,500,0,1875,5000,1500,0,0,7000-8000,Weekly,Yes,No,,Yes,
3/23/2026 15:03:40,1st year,School of Liberal Arts,Female,Off-campus housing,No,"Ɓ10,000",0,0,11000,Weekly,Yes,Yes,No,,2000,0,5800,3000,1000,1000,500,20000,Weekly,Yes,Yes,4000,No,
3/23/2026 15:05:09,1st year,School of Liberal Arts,Female,Off-campus housing,No,6000,-,-,-,Monthly,Yes,No,No,,200,0,"2,000","3,000",200,-,500,"5,500",Occasionally,Yes,Yes,500,Yes,-
3/23/2026 15:05:23,1st year,School of Liberal Arts,Female,Off-campus housing,No,12000 thb,-,-,12000 thb,Monthly,Yes,No,No,,8000 thb,0,0,3000 thb,0,0,0,3000 thb,Occasionally,Yes,No,,No,
3/23/2026 15:05:41,1st year,School of Liberal Arts,Female,Off-campus housing,No,7000,-,-,10000,Monthly,Yes,No,No,,5000,-,6000,3000,300,Not sure,1000,6000,Daily,Yes,No,,No,
3/23/2026 15:06:01,1st year,School of Liberal Arts,Male,On-campus dormitory,No,6000,-,-,0,Monthly,No,No,Yes,,0,100,-,Nearly 4000,-,-,1000-2000,6000,Occasionally,No,Yes,800,Yes,5-10
3/23/2026 15:06:18,1st year,School of Liberal Arts,Female,On-campus dormitory,No,"10,000",-,-,"10,000",Monthly,Yes,No,No,,"1,000",0,I live in a on-campus dorm. The dorm fee here is 4000 baht per semester.,"5,000",200,0,"3,000",8200,Weekly,Yes,No,0,Yes,sometimes 2-3 days
3/23/2026 15:06:29,1st year,School of Liberal Arts,Female,On-campus dormitory,No,"10,000",-,-,"10,000",Monthly,Yes,No,No,,"3,000",0,-,"5,000",-,-,-,"7,000",Weekly,Yes,No,-,No,-
3/23/2026 15:06:50,1st year,School of Liberal Arts,Female,On-campus dormitory,Yes,1000,3000,-,4000,Weekly,No,No,No,,500,0,0,3000,0,0,1000,4000,Daily,Yes,Yes,500,Yes,10
